train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,learning_rate,medical_score
0.8080554610837705,0.7742186183967288,0.7817460317460317,0.7931547619047619,0.7782816779102284,0.8000176141690218,0.7811442574804881,0.7924192594268562,0.7790571336081742,0.7857180613008311,0.0002328590987270893,0.7897387801764462
0.8039189892471152,0.7591121608302707,0.7837301587301587,0.8075396825396826,0.7805064712949709,0.8112889281429065,0.783154709461442,0.8067676983068639,0.7812477014840541,0.800953530958043,0.00022134336503971329,0.8044420313673355
0.7896001395725069,0.7518955634699928,0.7933201058201058,0.8139880952380952,0.7895950897737392,0.8148527890993644,0.7928236129044197,0.8132944847889345,0.7904935283639263,0.8077595004954856,0.00020925724223226159,0.811080491071555
0.7955284973300955,0.7394130797613234,0.7824074074074074,0.8234126984126984,0.7787790246108217,0.8234120919872009,0.7818129805582686,0.8227179337395306,0.7797919469336372,0.8180115872630374,0.00019669804065905463,0.8208353951489333
0.7979351972776746,0.7319364126712556,0.7848875661375662,0.8234126984126984,0.7812435215625915,0.8222122598809782,0.7843116293843881,0.8227081916559973,0.7821789922505344,0.8177906334570624,0.000183766879626469,0.8207411683764233
0.7882915836162668,0.7279973550448342,0.7883597883597884,0.8120039682539683,0.7841276064126024,0.8151284637466946,0.7878512774853467,0.8112897302365731,0.7854707591408179,0.8057185294035676,0.00017056787323973952,0.8090612499033709
0.7948960551509151,0.7348952156210703,0.783234126984127,0.8234126984126984,0.7804570628729544,0.8238712303271395,0.7827068572402508,0.8227142728185541,0.781286352941731,0.8178524944200405,0.00015720729213740203,0.8207695614591486
0.7796119956112413,0.721176760064231,0.7934854497354498,0.8268849206349206,0.7892825347880532,0.8248986473138231,0.7928362402140273,0.8261785552783483,0.7903354682703791,0.8212587869390309,0.00014379270786259805,0.8242106479426212
0.7883775454980356,0.7301432495079343,0.7911706349206349,0.8229166666666666,0.787285880690322,0.8232207461650527,0.7905599271678413,0.8222683799776836,0.7884257540624088,0.8181449463741577,0.00013043212676026053,0.8206190065362733
0.7844518451463609,0.7121417196024031,0.7941468253968254,0.8273809523809523,0.7901814489553605,0.8262214282185362,0.7935734945757658,0.8267448734730094,0.7914199723461683,0.8231125646893738,0.00011723312037353102,0.8252919499595552
0.7920100241111069,0.7264394542527577,0.783234126984127,0.8234126984126984,0.7792402925896277,0.823017169546946,0.7826887092736294,0.8227228964571147,0.7804797874540949,0.8184228098202508,0.00010430195934094538,0.8210028618023691
0.7820596171434594,0.7208786374992795,0.7933201058201058,0.8253968253968254,0.7889996434944695,0.8245613351615084,0.7926609863485068,0.8247571828461344,0.7903201749582728,0.820030456332615,9.174275776773847e-05,0.8228664922407266
0.7749658788322772,0.7183411003105225,0.7982804232804233,0.8278769841269841,0.7947432617060557,0.8279411106037866,0.7976750951579705,0.8272755786684552,0.7958364960134724,0.8230988001566608,7.965663496028671e-05,0.8256048672637375
0.7807026404552359,0.7260966986890823,0.7916666666666666,0.8209325396825397,0.7880689375063561,0.8198000821508558,0.7910798558182138,0.8202291308710798,0.7888534096903388,0.8150825395968537,6.81409012729107e-05,0.8181704943613894
0.7715119915033775,0.7342710542300391,0.8040674603174603,0.8189484126984127,0.8013272834810119,0.8238693563163235,0.8035785470535588,0.8182377793232284,0.8022727609510009,0.8130448864067976,5.7288274622119354e-05,0.8161606221566561
0.7753253408840725,0.720299209867205,0.7976190476190477,0.8253968253968254,0.7940686166642136,0.827095954779678,0.7970596353120775,0.824710525966778,0.795173000459518,0.8200375911020812,4.718613397646376e-05,0.8228413520208993
0.7669318845032385,0.7368629858607337,0.7966269841269841,0.8125,0.7930472714809734,0.8157088728738475,0.7960298262639507,0.8117650326796786,0.7940655174410809,0.8060698388827537,3.791581583246018e-05,0.8094869551609086
0.7720187675385248,0.7245980056505354,0.8004298941798942,0.8268849206349206,0.7977137988708112,0.8268894618588277,0.7998591948850697,0.826219069877936,0.7984337392595289,0.8216842308239325,2.9551959340945376e-05,0.8244051342563345
0.7584403453680574,0.7156391219487266,0.8058862433862434,0.8244047619047619,0.802898848386058,0.8254768495613231,0.8052624381834329,0.8237118401701796,0.8036842347506787,0.8192387197103077,2.2161905356521022e-05,0.8219225919862309
